ID	Name	Population
1	Berlin	3677472
2	Hamburg	1906411
3	Munich (München)	1487708
4	Cologne (Köln)	1073096
5	Frankfurt am Main	759224
6	Stuttgart	626275
7	Düsseldorf	619477
8	Leipzig	601866
9	Dortmund	586852
10	Essen	579432
11	Bremen	56329
12	Dresden	555351
13	Hanover (Hannover)	535932
14	Nuremberg (Nürnberg)	510632
15	Duisburg	495152
16	Bochum	363441
17	Wuppertal	354572
18	Bielefeld	334002
19	Bonn	331885
20	Münster	317713
21	Mannheim	311831
22	Karlsruhe	306502
23	Augsburg	296478
24	Wiesbaden	27895
25	Mönchengladbach	261001
26	Gelsenkirchen	260126
27	Aachen	24907
28	Braunschweig	248823
29	Kiel	246243
30	Chemnitz	243105
31	Halle (Saale)	238061
32	Magdeburg	236188
33	Freiburg im Breisgau	231848
34	Krefeld	22705
35	Mainz	217556
36	Lübeck	216277
37	Erfurt	213227
38	Oberhausen	208752
39	Rostock	2084
40	Kassel	200406
41	Hagen	188713
42	Potsdam	183154
43	Saarbrücken	179634
44	Hamm	179238
45	Ludwigshafen am Rhein	172145
46	Mülheim an der Ruhr	170739
47	Oldenburg	170389
48	Osnabrück	165034
49	Leverkusen	163851
50	Darmstadt	159631
51	Heidelberg	159245
52	Solingen	158957
53	Herne	156621
54	Regensburg	153542
55	Neuss	152731
56	Paderborn	152531
57	Ingolstadt	138016
58	Offenbach am Main	131295
59	Fürth	129122
60	Ulm	126949
61	Würzburg	126933
62	Heilbronn	125613
63	Pforzheim	125529
64	Wolfsburg	123949
65	Bottrop	117311
66	Göttingen	116557
67	Reutlingen	116456
68	Koblenz	113638
69	Erlangen	113292
70	Bremerhaven	113173
71	Remscheid	11177
72	Bergisch Gladbach	111645
73	Recklinghausen	110714
74	Trier	11057
75	Jena	110502
76	Moers	103725
77	Salzgitter	103694
78	Siegen	101516
79	Gütersloh	101158
80	Hildesheim	100319
